application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2020-06-19,Iraq,Megan Foote Monsky; Blair O'Connor; Gabriel Gonzalez,remand,religion,,,,male
,2012-04-13,,Anne J. Greer,deny,,,,,male
,2012-10-18,Mexico,Charles Adkins-Blanch,sustain,,,,,male
asylum; withholding_of_removal; CAT,2020-03-23,Guatemala,Anne J. Greer,remand,,family-based,child; family,,male
,2020-08-08,,Stephanie E. Gorman,dismiss,,,,,male
,2020-04-28,El Salvador,Edward F. Kelly,,,,,,male
,2012-06-11,,Charles Adkins-Blanch,remand,,,,,female
,2020-01-28,Togo,Deborah K. Goodwin,remand,political,,,,male
asylum; withholding_of_removal; CAT,2020-02-28,,Earle B. Wilson; Blair O'Connor,,,,,,male
withholding_of_removal,2019-09-16,Mexico,Anne J. Greer,remand,social; nationality,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2012-04-30,Philippines,Michael J. Creppy; Edward R. Grant; Garry D. Malphrus,remand,,,,,female
asylum; withholding_of_removal; CAT,2020-09-08,Cameroon,Earle B. Wilson; Anne J. Greer,remand,,,,,male
,2020-08-08,Honduras,Edward F. Kelly; V. Stuart Couch,sustain,,,,,male
,2020-07-28,Georgia,Edward F. Kelly; V. Stuart Couch,remand,,,,,male
,2012-05-14,Jamaica,Anne J. Greer,terminate,,,,,male
,2020-07-29,Peru,Megan Foote Monsky; Anne J. Greer,terminate,,,,,male
,2012-09-17,Mexico,Charles Adkins-Blanch,remand,,family-based,daughter,,male
asylum; withholding_of_removal; CAT,2020-10-08,Cameroon,Ellen Liebowitz; Joan B. Geller,sustain,political,,,,male
,2019-10-30,Mexico,Earle B. Wilson; Michael P. Baird; Gabriel Gonzalez; Anne J. Greer,sustain,,,,,male
,2012-10-25,El Salvador,Charles Adkins-Blanch; Gabriel Gonzalez,sustain,,,,,female
,2019-04-18,Dominican Republic,Edward F. Kelly,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-09-26,Eritrea,Edward R. Grant,remand,political,,,,male
,2012-02-09,Sri Lanka,Charles Adkins-Blanch,sustain,nationality,,,,male
asylum,2019-12-19,Venezuela,Michael J. Creppy,remand,nationality; religion; social; race; political,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
asylum; withholding_of_removal; CAT,2019-04-26,China,Edward F. Kelly; Ana Landazabal Mann,dismiss,,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
asylum; withholding_of_removal; CAT,2019-05-07,Cuba,Ellen Liebowitz; Garry D. Malphrus,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-05-24,Guatemala,Anne J. Greer,grant,,,,,female
,2019-04-12,Mexico,Anne J. Greer,sustain,,gang-based,gang,,male
,2012-01-12,Sri Lanka,Anne J. Greer; Hugh Mullane,dismiss,,,,,male
,2012-04-03,Mexico,Charles Adkins-Blanch,sustain,,,,,female
,2019-02-15,Honduras,Edward F. Kelly,terminate,,,,,male
,2019-03-04,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-06-13,Haiti,Michael P. Baird; Anne J. Greer,sustain,,,,,male
,2019-12-06,Guatemala,Gabriel Gonzalez,grant,,,,,female
,2019-09-10,Mexico,Anne J. Greer,remand,,family-based,son; partner; wife; child; daughter,,male
,2019-12-30,,Ana Landazabal Mann,remand,,,,,male
,2019-10-23,,Edward R. Grant,remand,,,,,male
,2012-06-11,France,Anne J. Greer; Gabriel Gonzalez; Hugh Mullane,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-05-01,Mexico,Blair O'Connor,remand,social,family-based; gender-based,family; child; woman; queer; homosexual; homosexuality; sexuality; lesbian; gay,,female
,2012-04-09,Mexico,Anne J. Greer,deny,,,,,male
,2019-11-08,,Ana Landazabal Mann,dismiss,,,,,male
,2019-12-13,Bangladesh,Edward R. Grant,remand,,,,,male
,2019-01-30,Mexico,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2019-07-12,China,Edward R. Grant,remand,,,,,male
,2012-02-13,,Gabriel Gonzalez,deny,,,,,male
asylum; withholding_of_removal; CAT,2019-11-19,Honduras,Anne J. Greer,remand,social,gang-based,gang,,male
,2012-12-07,Mexico,Charles Adkins-Blanch,remand,,,,,male
asylum,2019-03-13,China,Anne J. Greer,remand,,,,,male
